"","ident","Carte","Profil","Choix","enqueteur","sexe","age","ann_insta","commun_exp","form_gen","form_agri","pc_fvd","pc_ferm","adh_group","adh_sica","adh_cuma","sau","s_ignames","s_autr_tuber","s_banane","s_canne","s_prairie","s_meca","conduite_ig","acti_agri","uth","uth_ig","success","revenu_agri","ig_annees","ig_prod_prin","ig_part_revenu","ig_lev_rev","ig_lev_diversif","ig_chaque_ann","ig_nb_var_cult","ig_semenceau","ig_assoc_var","ig_fr_maladie","ig_fr_temps_trav","ig_fr_dispo_plant","ig_fr_cout_prod","ig_fr_vol","ig_fr_eau","ig_fr_cons_plant","pb_dispo_sem","ig_av_s2","ig_av_nb_var","attri_cout","attri_nb_var","attri_dispo","attri_engage","Q4.03","Q4.06","Q4.09","Q4.13","Q4.15","Q4.18","Q4.22","Q4.24","fut_acha_sem_qual","futur_prod_ig971","futur_conso_ig971","carte","profil","cout_sem","nb_varietes","dispo_sem","engage"
"1532","BM76","c1",1,"1","BM","H",70,"1984","SAINTE ROSE","Primaire","Sur le tas","100%","0.00%",0,1,0,4.4,0.4,0,0,4,0,3,"TUTEUREE","20%",0.5,0.4,0,"25-50",20,0,"0-25",0,0,1,3,"COMMERCE",1,0,0,0,0,1,0,0,0,"MAINTIEN","AUGMENTATION",1,3,4,2,1,1,1,1,1,0,"1","1","50%","BAISSE","AUGMENTATION",1,1,3.5,5,1,0
"1533","BM76","c1",1,"0","BM","H",70,"1984","SAINTE ROSE","Primaire","Sur le tas","100%","0.00%",0,1,0,4.4,0.4,0,0,4,0,3,"TUTEUREE","20%",0.5,0.4,0,"25-50",20,0,"0-25",0,0,1,3,"COMMERCE",1,0,0,0,0,1,0,0,0,"MAINTIEN","AUGMENTATION",1,3,4,2,1,1,1,1,1,0,"1","1","50%","BAISSE","AUGMENTATION",1,2,3.5,15,0.25,1
"1534","BM76","c2",1,"0","BM","H",70,"1984","SAINTE ROSE","Primaire","Sur le tas","100%","0.00%",0,1,0,4.4,0.4,0,0,4,0,3,"TUTEUREE","20%",0.5,0.4,0,"25-50",20,0,"0-25",0,0,1,3,"COMMERCE",1,0,0,0,0,1,0,0,0,"MAINTIEN","AUGMENTATION",1,3,4,2,1,1,1,1,1,0,"1","1","50%","BAISSE","AUGMENTATION",2,0,0,0,0,0
"1535","BM76","c2",1,"1","BM","H",70,"1984","SAINTE ROSE","Primaire","Sur le tas","100%","0.00%",0,1,0,4.4,0.4,0,0,4,0,3,"TUTEUREE","20%",0.5,0.4,0,"25-50",20,0,"0-25",0,0,1,3,"COMMERCE",1,0,0,0,0,1,0,0,0,"MAINTIEN","AUGMENTATION",1,3,4,2,1,1,1,1,1,0,"1","1","50%","BAISSE","AUGMENTATION",2,1,1.5,15,1,0
"1536","BM76","c2",1,"0","BM","H",70,"1984","SAINTE ROSE","Primaire","Sur le tas","100%","0.00%",0,1,0,4.4,0.4,0,0,4,0,3,"TUTEUREE","20%",0.5,0.4,0,"25-50",20,0,"0-25",0,0,1,3,"COMMERCE",1,0,0,0,0,1,0,0,0,"MAINTIEN","AUGMENTATION",1,3,4,2,1,1,1,1,1,0,"1","1","50%","BAISSE","AUGMENTATION",2,2,2.5,15,0.25,0
"1537","BM76","c3",0,"1","BM","H",70,"1984","SAINTE ROSE","Primaire","Sur le tas","100%","0.00%",0,1,0,4.4,0.4,0,0,4,0,3,"TUTEUREE","20%",0.5,0.4,0,"25-50",20,0,"0-25",0,0,1,3,"COMMERCE",1,0,0,0,0,1,0,0,0,"MAINTIEN","AUGMENTATION",1,3,4,2,1,1,1,1,1,0,"1","1","50%","BAISSE","AUGMENTATION",3,0,0,0,0,0
"1538","BM76","c3",0,"0","BM","H",70,"1984","SAINTE ROSE","Primaire","Sur le tas","100%","0.00%",0,1,0,4.4,0.4,0,0,4,0,3,"TUTEUREE","20%",0.5,0.4,0,"25-50",20,0,"0-25",0,0,1,3,"COMMERCE",1,0,0,0,0,1,0,0,0,"MAINTIEN","AUGMENTATION",1,3,4,2,1,1,1,1,1,0,"1","1","50%","BAISSE","AUGMENTATION",3,1,2.5,15,1,1
"1539","BM76","c3",0,"0","BM","H",70,"1984","SAINTE ROSE","Primaire","Sur le tas","100%","0.00%",0,1,0,4.4,0.4,0,0,4,0,3,"TUTEUREE","20%",0.5,0.4,0,"25-50",20,0,"0-25",0,0,1,3,"COMMERCE",1,0,0,0,0,1,0,0,0,"MAINTIEN","AUGMENTATION",1,3,4,2,1,1,1,1,1,0,"1","1","50%","BAISSE","AUGMENTATION",3,2,3.5,5,1,0
"1540","BM76","c4",2,"0","BM","H",70,"1984","SAINTE ROSE","Primaire","Sur le tas","100%","0.00%",0,1,0,4.4,0.4,0,0,4,0,3,"TUTEUREE","20%",0.5,0.4,0,"25-50",20,0,"0-25",0,0,1,3,"COMMERCE",1,0,0,0,0,1,0,0,0,"MAINTIEN","AUGMENTATION",1,3,4,2,1,1,1,1,1,0,"1","1","50%","BAISSE","AUGMENTATION",4,0,0,0,0,0
"1541","BM76","c4",2,"0","BM","H",70,"1984","SAINTE ROSE","Primaire","Sur le tas","100%","0.00%",0,1,0,4.4,0.4,0,0,4,0,3,"TUTEUREE","20%",0.5,0.4,0,"25-50",20,0,"0-25",0,0,1,3,"COMMERCE",1,0,0,0,0,1,0,0,0,"MAINTIEN","AUGMENTATION",1,3,4,2,1,1,1,1,1,0,"1","1","50%","BAISSE","AUGMENTATION",4,1,1.5,5,0.25,1
